epoch,train_loss,train_acc,test_loss,test_acc
1,0.28274659801131025,91.25915626695605,0.0889989843916148,97.16
2,0.08120248263726558,97.4633749321758,0.05236782109085471,98.4
3,0.05748262464087022,98.13653011394466,0.042821597884222865,98.6
4,0.04459773858858053,98.55534454693435,0.037572532710433,98.88
5,0.035461266227513735,98.91311720021704,0.04293028145069257,98.65
6,0.030569493434397223,99.03689636462289,0.03859614270576276,98.78
7,0.02602815723745405,99.1064161692892,0.032473245630133894,98.99
8,0.020947450184600532,99.29123711340206,0.04065314803253859,98.72
9,0.01936981093739925,99.38619099294628,0.034636652320611756,98.97
10,0.017212775684258944,99.4811448724905,0.0338492471579928,98.92
